,Actual,Goal
03/01/2026,7728,10790
03/02/2026,6984,10180
03/03/2026,10239,9540
03/04/2026,10274,9610
03/05/2026,9691,9750
03/06/2026,10439,9750
03/07/2026,8336,9820
03/08/2026,10268,9680
03/09/2026,10899,9740
03/10/2026,14166,9980
03/11/2026,10131,10820
03/12/2026,10467,10760
03/13/2026,8784,10710
03/14/2026,18092,10330
03/15/2026,7879,11110
03/16/2026,6716,10790
03/17/2026,7771,9980
03/18/2026,8987,9540
03/19/2026,10344,9430
03/20/2026,15470,9530
03/21/2026,12422,10720
03/22/2026,7949,11060
03/23/2026,12327,10750
03/24/2026,10055,10910
03/25/2026,12885,10830
03/26/2026,14314,11040
03/27/2026,11572,11700
03/28/2026,9045,11690
03/29/2026,5909,11170
03/30/2026,11898,10120
03/31/2026,13809,10300
04/01/2026,8941,11010
04/02/2026,10037,10810
04/03/2026,16874,10660
04/04/2026,12743,11290
04/05/2026,11009,11580
04/06/2026,15891,11530
04/07/2026,8269,11970
04/08/2026,9343,11600
04/09/2026,9595,11150
04/10/2026,10704,10840
04/11/2026,16688,10820
04/12/2026,12407,11410
04/13/2026,11850,11610
04/14/2026,11799,11660
04/15/2026,6522,11690
04/16/2026,6813,11180
04/17/2026,11674,10310
04/18/2026,18122,10450
04/19/2026,6423,11990
04/20/2026,10866,11440
04/21/2026,6163,11330
04/22/2026,16118,10300
04/23/2026,10761,10890
04/25/2026,10500,10880
04/26/2026,7180,10810
04/27/2026,8956,10090
04/28/2026,9149,9870
04/29/2026,10083,9730
04/30/2026,16420,9770
05/01/2026,13765,11100
05/02/2026,11958,11640
05/03/2026,9720,11710
05/04/2026,13041,11520
05/05/2026,9299,11680
05/06/2026,10317,11450
05/07/2026,10852,11230
05/08/2026,15415,11160
05/09/2026,15878,11590
05/10/2026,4332,12450
05/11/2026,6700,11640
05/12/2026,7013,10660
05/13/2026,4122,9930
05/14/2026,21282,8770
05/15/2026,21789,10030
05/16/2026,21125,12030
05/17/2026,22292,13850
05/18/2026,13635,15540
05/19/2026,10223,15350
05/20/2026,6663,14330
05/21/2026,6662,12800
